Word,Synonyms
Abate,"Diminish, Decrease, Subside, Lessen"
Evict,"Remove, Expel, Oust, Dismiss"
Sham,"Fake, Fraud, Deception, Hoax"
Astute,"Clever, Shrewd, Sharp, Perceptive"
Delicacy,"Subtlety, Finesse, Sensitivity, Refinement"
Derogatory,"Insulting, Disrespectful, Offensive, Degrading"
Figment,"Invention, Fantasy, Illusion, Fabrication"
Predatory,"Aggressive, Exploitative, Greedy, Hunting"
Ungainly,"Awkward, Clumsy, Uncoordinated, Graceless"
Admonish,"Scold, Warn, Rebuke, Reprimand"
Aghast,"Horrified, Shocked, Appalled, Stunned"
Benefactor,"Donor, Patron, Supporter, Sponsor"
Bestow,"Grant, Give, Confer, Present"
Devious,"Cunning, Sneaky, Deceitful, Sly"
Devoid,"Lacking, Empty, Absent, Void"
Heed,"Attention, Notice, Regard, Observe"
Muse,"Ponder, Reflect, Contemplate, Think"
Pioneer,"Trailblazer, Innovator, Explorer, Leader"
Plague,"Afflict, Torment, Burden, Pester"
Subside,"Decrease, Settle, Diminish, Calm"
Unwitting,"Unaware, Unknowing, Accidental, Unintentional"
Correspond,"Match, Agree, Communicate, Align"
Illustrious,"Famous, Distinguished, Renowned, Celebrated"
Loath,"Reluctant, Unwilling, Hesitant, Averse"
Reprimand,"Scold, Rebuke, Admonish, Criticize"
Renovate,"Restore, Refurbish, Rebuild, Upgrade"
