Word,Synonyms
Equity,"Fairness, Justice, Impartiality, Equality"
Perpetuate,"Continue, Maintain, Preserve, Sustain"
Esoteric,"Obscure, Mysterious, Arcane, Cryptic"
Pundits,"Experts, Authorities, Commentators, Analysts"
Abate,"Diminish, Decrease, Subside, Lessen"
Coherent,"Logical, Consistent, Clear, Rational"
Mollified,"Appeased, Calmed, Soothed, Pacified"
Imperious,"Domineering, Arrogant, Commanding, Overbearing"
Incongruous,"Inconsistent, Mismatched, Incompatible, Absurd"
Paucity,"Scarcity, Shortage, Lack, Insufficiency"
Creed,"Belief, Doctrine, Principle, Faith"
Acquiesced,"Agreed, Complied, Consented, Yielded"
Insidious,"Treacherous, Cunning, Deceptive, Sneaky"
Obligated,"Required, Bound, Compelled, Indebted"
Charisma,"Charm, Appeal, Magnetism, Allure"
Disseminated,"Spread, Distributed, Circulated, Broadcast"
Arable,"Fertile, Cultivable, Productive, Farmable"
Reconciliation,"Settlement, Resolution, Harmony, Reunification"
Provincial,"Narrow-minded, Rural, Parochial, Regional"
Precocious,"Advanced, Gifted, Mature, Talented"
Palatial,"Grand, Luxurious, Magnificent, Stately"
Surreptitious,"Secretive, Stealthy, Covert, Sneaky"
Slovenly,"Untidy, Sloppy, Careless, Unkempt"
Consternation,"Alarm, Dismay, Shock, Distress"
Veritable,"Genuine, Authentic, True, Real"
Accrete,"Accumulate, Gather, Grow, Amass"
Portend,"Foreshadow, Predict, Foretell, Signal"
Vitriolic,"Bitter, Caustic, Scathing, Venomous"
Salubrious,"Healthy, Wholesome, Beneficial, Invigorating"
Complacent,"Self-satisfied, Smug, Content, Unconcerned"
Anachronistic,"Outdated, Obsolete, Archaic, Misplaced"
Desultory,"Aimless, Scattered, Unfocused, Random"
Parsimony,"Stinginess, Frugality, Miserliness, Thrift"
Risible,"Laughable, Absurd, Ridiculous, Comical"
Aspiration,"Ambition, Goal, Dream, Desire"
Assiduous,"Diligent, Hardworking, Persistent, Dedicated"
Implacable,"Relentless, Unyielding, Unforgiving, Merciless"
Dolorous,"Sorrowful, Mournful, Grievous, Melancholy"
Acuity,"Sharpness, Keenness, Clarity, Precision"
Torpor,"Lethargy, Sluggishness, Inactivity, Dormancy"
Prosaic,"Ordinary, Mundane, Dull, Unimaginative"
Rapacious,"Greedy, Voracious, Predatory, Grasping"
Expedient,"Practical, Convenient, Advantageous, Useful"
Ascetic,"Austere, Disciplined, Abstinent, Spartan"
Potable,"Drinkable, Pure, Clean, Safe"
Absolution,"Forgiveness, Pardon, Exoneration, Acquittal"
Holistic,"Comprehensive, Integrated, Whole, Unified"
Deference,"Respect, Submission, Regard, Reverence"
Cavalier,"Dismissive, Arrogant, Careless, Offhand"
Redolent,"Fragrant, Aromatic, Evocative, Reminiscent"
Indolence,"Laziness, Idleness, Sloth, Lethargy"
Euphonious,"Melodious, Harmonious, Pleasant, Musical"
Rancorous,"Bitter, Spiteful, Hostile, Resentful"
Censure,"Criticize, Condemn, Rebuke, Denounce"
Prescience,"Foresight, Foreknowledge, Clairvoyance, Intuition"
Umbrage,"Offense, Resentment, Displeasure, Indignation"
