Word,Synonyms
Conspicuous,"Obvious, Noticeable, Prominent, Striking"
Eloquent,"Articulate, Expressive, Fluent, Persuasive"
Lofty,"Tall, Elevated, Grand, Noble"
Splendor,"Magnificence, Grandeur, Brilliance, Glory"
Jeopardy,"Danger, Risk, Peril, Hazard"
Attain,"Achieve, Reach, Obtain, Accomplish"
Captivate,"Fascinate, Charm, Enchant, Enthrall"
Inhibit,"Restrain, Hinder, Suppress, Block"
Sheath,"Cover, Casing, Scabbard, Sleeve"
Ecstasy,"Bliss, Rapture, Euphoria, Elation"
Impurity,"Contamination, Pollution, Taint, Blemish"
Fanciful,"Imaginative, Whimsical, Fantastical, Dreamy"
Unruly,"Disorderly, Wild, Rebellious, Defiant"
Adversary,"Opponent, Enemy, Rival, Foe"
Woe,"Misery, Sorrow, Grief, Hardship"
Fatigue,"Exhaustion, Weariness, Tiredness, Lethargy"
Oblivious,"Unaware, Ignorant, Heedless, Inattentive"
Prominent,"Notable, Well-known, Distinguished, Conspicuous"
Rigor,"Strictness, Precision, Severity, Thoroughness"
Sear,"Scorch, Burn, Char, Singe"
Wend,"Travel, Journey, Proceed, Advance"
Esteem,"Respect, Admiration, Regard, Honor"
Intrigued,"Curious, Fascinated, Captivated, Interested"
Apprehensive,"Anxious, Fearful, Uneasy, Worried"
Coincide,"Agree, Correspond, Overlap, Align"
Velocity,"Speed, Pace, Swiftness, Rate"
Loom,"Appear, Emerge, Hover, Threaten"
Lull,"Calm, Pause, Soothe, Quiet"
Placid,"Calm, Peaceful, Serene, Tranquil"
Corrode,"Erode, Rust, Decay, Deteriorate"
Leeway,"Flexibility, Latitude, Room, Margin"
Abroad,"Overseas, Away, Elsewhere, Internationally"
Anguish,"Pain, Suffering, Distress, Torment"
Commence,"Begin, Start, Initiate, Launch"
Dissent,"Disagree, Oppose, Object, Protest"
Ernest,"Sincere, Serious, Genuine, Earnest"
Hoax,"Trick, Deception, Fraud, Swindle"
Manipulate,"Control, Influence, Maneuver, Exploit"
Clammy,"Damp, Sticky, Moist, Sweaty"
Furnish,"Supply, Provide, Equip, Outfit"
Bluster,"Boast, Brag, Swagger, Rant"
Strew,"Scatter, Spread, Sprinkle, Disperse"
Rash,"Impulsive, Reckless, Hasty, Careless"
