Word,Synonyms
Assent,"Agree, Approve, Consent, Concur"
Concur,"Agree, Correspond, Coincide, Accord"
Consult,"Advise, Confer, Discuss, Seek guidance"
Dissuade,"Deter, Discourage, Persuade against, Divert"
Haggle,"Bargain, Negotiate, Barter, Wrangle"
Perturb,"Disturb, Unsettle, Agitate, Trouble"
Procure,"Obtain, Acquire, Secure, Get"
Receptive,"Open, Responsive, Willing, Amenable"
Repudiate,"Reject, Deny, Disown, Renounce"
Signify,"Indicate, Denote, Mean, Represent"
Sovereign,"Supreme, Dominant, Ruling, Independent"
Trifling,"Trivial, Insignificant, Petty, Minor"
Acclaim,"Praise, Applaud, Honor, Celebrate"
Bigot,"Fanatic, Zealot, Prejudiced person, Narrow-minded person"
Covet,"Desire, Crave, Envy, Long for"
Deceased,"Dead, Departed, Gone, Late"
Formidable,"Intimidating, Powerful, Daunting, Impressive"
Ghetto,"Slum, Shantytown, Poor quarter, Enclave"
Momentous,"Significant, Historic, Crucial, Weighty"
Oppress,"Suppress, Dominate, Persecute, Subjugate"
Overwhelm,"Overpower, Overcome, Swamp, Inundate"
Perceive,"Observe, Notice, Detect, Recognize"
Premiere,"Debut, Opening, Launch, First showing"
Prospective,"Potential, Future, Anticipated, Likely"
Spurn,"Reject, Scorn, Dismiss, Rebuff"
Staunch,"Loyal, Devoted, Steadfast, Firm"
Adverse,"Unfavorable, Harmful, Opposing, Hostile"
Compulsory,"Mandatory, Required, Obligatory, Necessary"
Desolate,"Barren, Bleak, Deserted, Lonely"
Distinction,"Difference, Honor, Excellence, Contrast"
Endure,"Survive, Withstand, Tolerate, Persist"
Fluctuate,"Vary, Waver, Shift, Oscillate"
Grueling,"Exhausting, Demanding, Strenuous, Punishing"
Maul,"Attack, Mangle, Batter, Assault"
Robust,"Strong, Sturdy, Vigorous, Healthy"
Apathy,"Indifference, Disinterest, Lethargy, Passiveness"
Badger,"Pester, Harass, Nag, Hound"
Compel,"Force, Drive, Oblige, Coerce"
Delude,"Deceive, Mislead, Trick, Fool"
Deplore,"Condemn, Lament, Disapprove, Criticize"
Derelict,"Abandoned, Neglected, Rundown, Dilapidated"
Detriment,"Harm, Damage, Disadvantage, Setback"
Foster,"Encourage, Nurture, Promote, Support"
Inanimate,"Lifeless, Inert, Dead, Still"
Omen,"Sign, Portent, Warning, Indication"
